Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
2001.0,TUR,LBN,Türkiye,Lebanon,U,UNHCR,V,Various,P,Persons,0.0,25.0
2001.0,TUR,LUX,Türkiye,Luxembourg,G,Government,V,Various,P,Persons,0.0,27.0
2001.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,C,Cases,0.0,5.0
2001.0,TUR,NLD,Türkiye,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0.0,1400.0
2001.0,TUR,NOR,Türkiye,Norway,G,Government,V,Various,P,Persons,0.0,204.0
2001.0,TUR,NZL,Türkiye,New Zealand,G,Government,V,Various,P,Persons,0.0,7.0
2001.0,TUR,PHL,Türkiye,Philippines,G,Government,V,Various,P,Persons,0.0,5.0
2001.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,5.0
2001.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,9.0
2001.0,TUR,ROU,Türkiye,Romania,G,Government,V,Various,P,Persons,0.0,38.0
2001.0,TUR,ESP,Türkiye,Spain,G,Government,V,Various,P,Persons,0.0,27.0
2001.0,TUR,SVK,Türkiye,Slovakia,G,Government,V,Various,P,Persons,0.0,47.0
2001.0,TUR,SVN,Türkiye,Slovenia,G,Government,V,Various,P,Persons,0.0,379.0
2001.0,TUR,SWE,Türkiye,Sweden,G,Government,V,Various,P,Persons,0.0,458.0
2001.0,TUR,CHE,Türkiye,Switzerland,G,Government,V,Various,P,Persons,0.0,1960.0
2001.0,TUR,SYR,Türkiye,Syrian Arab Republic,U,UNHCR,V,Various,C,Cases,0.0,6.0
2001.0,TUR,UKR,Türkiye,Ukraine,G,Government,V,Various,P,Persons,0.0,5.0
2001.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,124.0
2001.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,122.0
2002.0,TUR,ALB,Türkiye,Albania,G,Government,V,Various,C,Cases,0.0,41.0
2002.0,TUR,ARG,Türkiye,Argentina,G,Government,V,Various,P,Persons,0.0,7.0
2002.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,56.0
2002.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,P,Persons,0.0,71.0
2002.0,TUR,AUT,Türkiye,Austria,G,Government,V,Various,P,Persons,0.0,3561.0
2002.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,249.0
2002.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,970.0
2002.0,TUR,BGR,Türkiye,Bulgaria,G,Government,V,Various,P,Persons,0.0,47.0
2002.0,TUR,CAN,Türkiye,Canada,G,Government,V,Various,P,Persons,0.0,1144.0
2002.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,73.0
2002.0,TUR,CYP,Türkiye,Cyprus,U,UNHCR,V,Various,P,Persons,0.0,18.0
2002.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,C,Cases,0.0,5.0
2002.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,C,Cases,0.0,31.0
2002.0,TUR,DNK,Türkiye,Denmark,G,Government,V,Various,P,Persons,0.0,111.0
2002.0,TUR,EST,Türkiye,Estonia,G,Government,V,Various,P,Persons,0.0,5.0
2002.0,TUR,FIN,Türkiye,Finland,G,Government,V,Various,P,Persons,0.0,197.0
2002.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,3615.0
2002.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,6582.0
2002.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,406.0
2002.0,TUR,GBR,Türkiye,United Kingdom of Great Britain and Northern Ireland,G,Government,V,Various,C,Cases,0.0,2835.0
2002.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,9575.0
2002.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,4438.0
2002.0,TUR,GRC,Türkiye,Greece,G,Government,V,Various,P,Persons,0.0,211.0
2002.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,124.0
2002.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,13.0
2002.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,19.0
2002.0,TUR,IRN,Türkiye,Iran (Islamic Republic of),U,UNHCR,V,Various,P,Persons,0.0,9.0
2002.0,TUR,IRQ,Türkiye,Iraq,U,UNHCR,V,Various,P,Persons,0.0,293.0
2002.0,TUR,ISR,Türkiye,Israel,G,Government,V,Various,P,Persons,0.0,5.0
2002.0,TUR,ITA,Türkiye,Italy,G,Government,V,Various,P,Persons,0.0,730.0
2002.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,57.0
2002.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,52.0
2002.0,TUR,LBN,Türkiye,Lebanon,U,UNHCR,V,Various,P,Persons,0.0,16.0
2002.0,TUR,LTU,Türkiye,Lithuania,G,Government,V,Various,P,Persons,0.0,11.0
2002.0,TUR,LUX,Türkiye,Luxembourg,G,Government,V,Various,P,Persons,0.0,8.0
2002.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,C,Cases,0.0,14.0
2002.0,TUR,NLD,Türkiye,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0.0,629.0
2002.0,TUR,NOR,Türkiye,Norway,G,Government,V,Various,P,Persons,0.0,257.0
2002.0,TUR,NZL,Türkiye,New Zealand,G,Government,V,Various,P,Persons,0.0,5.0
2002.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,6.0
2002.0,TUR,ROU,Türkiye,Romania,G,Government,V,Various,P,Persons,0.0,43.0
2002.0,TUR,ESP,Türkiye,Spain,G,Government,V,Various,P,Persons,0.0,54.0
2002.0,TUR,SVK,Türkiye,Slovakia,G,Government,V,Various,P,Persons,0.0,34.0
2002.0,TUR,SVN,Türkiye,Slovenia,G,Government,V,Various,P,Persons,0.0,73.0
2002.0,TUR,SWE,Türkiye,Sweden,G,Government,V,Various,P,Persons,0.0,696.0
2002.0,TUR,CHE,Türkiye,Switzerland,G,Government,V,Various,P,Persons,0.0,1940.0
2002.0,TUR,SYR,Türkiye,Syrian Arab Republic,U,UNHCR,V,Various,C,Cases,0.0,5.0
2002.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,P,Persons,0.0,149.0
2002.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,94.0
2003.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,36.0
2003.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,P,Persons,0.0,48.0
2003.0,TUR,AUT,Türkiye,Austria,G,Government,V,Various,P,Persons,0.0,2854.0
2003.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,251.0
2003.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,618.0
2003.0,TUR,BGR,Türkiye,Bulgaria,G,Government,V,Various,P,Persons,0.0,44.0
2003.0,TUR,CAN,Türkiye,Canada,G,Government,V,Various,P,Persons,0.0,425.0
2003.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,8.0
2003.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,294.0
2003.0,TUR,CYP,Türkiye,Cyprus,U,UNHCR,V,Various,P,Persons,0.0,29.0
2003.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,P,Persons,0.0,11.0
2003.0,TUR,DNK,Türkiye,Denmark,G,Government,V,Various,P,Persons,0.0,108.0
2003.0,TUR,FIN,Türkiye,Finland,G,Government,V,Various,P,Persons,0.0,185.0
2003.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,4705.0
2003.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,7192.0
2003.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,584.0
2003.0,TUR,GBR,Türkiye,United Kingdom of Great Britain and Northern Ireland,G,Government,V,Various,P,Persons,0.0,2992.0
2003.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,6301.0
2003.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,3528.0
2003.0,TUR,GRC,Türkiye,Greece,G,Government,V,Various,P,Persons,0.0,218.0
2003.0,TUR,HRV,Türkiye,Croatia,U,UNHCR,V,Various,P,Persons,0.0,5.0
2003.0,TUR,HUN,Türkiye,Hungary,G,Government,V,Various,P,Persons,0.0,125.0
2003.0,TUR,IDN,Türkiye,Indonesia,U,UNHCR,V,Various,P,Persons,0.0,14.0
2003.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,12.0
2003.0,TUR,IRL,Türkiye,Ireland,G,Government,V,Various,P,Persons,0.0,19.0
2003.0,TUR,IRN,Türkiye,Iran (Islamic Republic of),U,UNHCR,V,Various,P,Persons,0.0,11.0
2003.0,TUR,ITA,Türkiye,Italy,G,Government,V,Various,P,Persons,0.0,466.0
2003.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,45.0
2003.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,77.0
2003.0,TUR,JPN,Türkiye,Japan,G,Government,V,Various,P,Persons,0.0,10.0
2003.0,TUR,LBN,Türkiye,Lebanon,U,UNHCR,V,Various,P,Persons,0.0,7.0
2003.0,TUR,LUX,Türkiye,Luxembourg,G,Government,V,Various,P,Persons,0.0,14.0
2003.0,TUR,MDA,Türkiye,Republic of Moldova,G,Government,V,Various,P,Persons,0.0,5.0
2003.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,P,Persons,0.0,5.0
2003.0,TUR,MLT,Türkiye,Malta,G,Government,V,Various,P,Persons,0.0,11.0
2003.0,TUR,NLD,Türkiye,Netherlands (Kingdom of the),G,Government,V,Various,P,Persons,0.0,414.0
2003.0,TUR,NOR,Türkiye,Norway,G,Government,V,Various,P,Persons,0.0,240.0
2003.0,TUR,NZL,Türkiye,New Zealand,G,Government,V,Various,P,Persons,0.0,5.0
2003.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,5.0
2003.0,TUR,POL,Türkiye,Poland,G,Government,V,Various,P,Persons,0.0,22.0
2003.0,TUR,ROU,Türkiye,Romania,G,Government,V,Various,P,Persons,0.0,36.0
2003.0,TUR,ESP,Türkiye,Spain,G,Government,V,Various,P,Persons,0.0,31.0
2003.0,TUR,SVK,Türkiye,Slovakia,G,Government,V,Various,P,Persons,0.0,61.0
2003.0,TUR,SVN,Türkiye,Slovenia,G,Government,V,Various,P,Persons,0.0,192.0
2003.0,TUR,SWE,Türkiye,Sweden,G,Government,V,Various,P,Persons,0.0,733.0
2003.0,TUR,CHE,Türkiye,Switzerland,G,Government,V,Various,P,Persons,0.0,1652.0
2003.0,TUR,SYR,Türkiye,Syrian Arab Republic,U,UNHCR,V,Various,C,Cases,0.0,5.0
2003.0,TUR,UKR,Türkiye,Ukraine,G,Government,V,Various,P,Persons,0.0,6.0
2003.0,TUR,UKR,Türkiye,Ukraine,G,Government,V,Various,P,Persons,0.0,5.0
2003.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,P,Persons,0.0,115.0
2003.0,TUR,USA,Türkiye,United States of America,G,Government,N,New,C,Cases,0.0,59.0
2004.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,27.0
2004.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,P,Persons,0.0,44.0
2004.0,TUR,AUT,Türkiye,Austria,G,Government,V,Various,P,Persons,0.0,1114.0
2004.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,207.0
2004.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,561.0
2004.0,TUR,BGR,Türkiye,Bulgaria,G,Government,V,Various,P,Persons,0.0,12.0
2004.0,TUR,CAN,Türkiye,Canada,G,Government,V,Various,P,Persons,0.0,276.0
2004.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,177.0
2004.0,TUR,CYP,Türkiye,Cyprus,G,Government,V,Various,P,Persons,0.0,123.0
2004.0,TUR,CYP,Türkiye,Cyprus,U,UNHCR,V,Various,P,Persons,0.0,5.0
2004.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,P,Persons,0.0,31.0
2004.0,TUR,DNK,Türkiye,Denmark,G,Government,V,Various,P,Persons,0.0,84.0
2004.0,TUR,EST,Türkiye,Estonia,G,Government,V,Various,P,Persons,0.0,7.0
2004.0,TUR,FIN,Türkiye,Finland,G,Government,V,Various,P,Persons,0.0,140.0
2004.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,5814.0
2004.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,4741.0
2004.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,1634.0
2004.0,TUR,GBR,Türkiye,United Kingdom of Great Britain and Northern Ireland,G,Government,V,Various,P,Persons,0.0,1588.0
2004.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,4148.0
2004.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,2824.0
2004.0,TUR,GRC,Türkiye,Greece,G,Government,V,Various,P,Persons,0.0,120.0
2004.0,TUR,HRV,Türkiye,Croatia,G,Government,V,Various,P,Persons,0.0,34.0
